,description,go_BioProc,go_CellComp,go_MolFunc,proteinname,sysname
0,Mitochondrial protein of unknown function,mitophagy,mitochondrion,molecular_function unknown,FUN14,YAL008W
1,"Protein of unknown function, required for normal growth rate at 15 degrees C; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm in a punctate pattern; mtc4 is synthetically sick with cdc13-1",biological_process unknown,cytoplasm,molecular_function unknown,MTC4,YBR255W
2,"S-adenosylmethionine transporter of the mitochondrial inner membrane, member of the mitochondrial carrier family; required for biotin biosynthesis and respiratory growth",transport,mitochondrion,S-adenosyl-L-methionine transmembrane transporter activity,PET8,YNL003C
3,"Cyclin-dependent protein kinase regulatory subunit and adaptor; modulates proteolysis of M-phase targets through interactions with the proteasome; role in transcriptional regulation, recruiting proteasomal subunits to target gene promoters",chromatin remodeling,cyclin-dependent protein kinase holoenzyme complex,cyclin-dependent protein serine/threonine kinase regulator activity,CKS1,YBR135W
4,"Protein of unknown function; induced by ketoconazole; promoter region contains sterol regulatory element motif, which has been identified as a Upc2p-binding site; overexpression complements function of Nce102p in NCE102 deletion strain",transport,plasma membrane,molecular_function unknown,FHN1,YGR131W
5,"Protein of unknown function; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies",biological_process unknown,nucleus,molecular_function unknown,IML2,YJL082W
6,Catalytic subunit of the main cell cycle cyclin-dependent kinase (CDK); alternately associates with G1 cyclins (CLNs) and G2/M cyclins (CLBs) which direct the CDK to specific substrates,meiotic DNA double-strand break processing,astral microtubule,nucleotide binding,CDC28,YBR160W
7,Putative protein of unknown function; diploid deletion strain exhibits high budding index; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm,proteolysis,cytoplasm,molecular_function unknown,YPL191C,YPL191C
8,Putative protein of unknown function; YPL039W is not an essential gene,biological_process unknown,cellular_component unknown,molecular_function unknown,YPL039W,YPL039W
9,"NADPH-dependent 1-acyl dihydroxyacetone phosphate reductase found in lipid particles, ER, and mitochondrial outer membrane; involved in phosphatidic acid biosynthesis; required for spore germination; capable of metabolizing steroid hormones",phosphatidic acid biosynthetic process,cytoplasm,acylglycerone-phosphate reductase activity,AYR1,YIL124W
10,"Protein involved in early pre-mRNA splicing; component of the pre-mRNA-U1 snRNP complex, the commitment complex; interacts with Msl5p/BBP splicing factor and Sub2p; similar to metazoan splicing factor U2AF65",mRNA branch site recognition,commitment complex,nucleotide binding,MUD2,YKL074C
11,Cyclin-like protein that interacts with Pho85p; has sequence similarity to G1 cyclins PCL1 and PCL2,regulation of cyclin-dependent protein serine/threonine kinase activity,cyclin-dependent protein kinase holoenzyme complex,cyclin-dependent protein serine/threonine kinase regulator activity,CLG1,YGL215W
12,"Protein of unknown function; may play a role in vacuolar sorting, null mutants are hypersensitive to sortin2",biological_process unknown,cellular_component unknown,molecular_function unknown,ICS3,YJL077C
13,"Multiubiquitin chain assembly factor (E4); proteasome processivity factor that elongates polyUb chains on substrates, opposing Ubp6p, a branched polyubiquitin protease; required for retrograde transport of misfolded proteins during ERAD",protein polyubiquitination,proteasome complex,ubiquitin-protein transferase activity,HUL5,YGL141W
14,"Subunit of heterohexameric prefoldin, which binds cytosolic chaperonin and transfers target proteins to it; involved in the biogenesis of actin and of alpha- and gamma-tubulin",protein folding,cytoplasm,unfolded protein binding,PFD1,YJL179W
15,Autophagy-specific protein that is required for recruitment of other ATG proteins to the pre-autophagosomal structure (PAS); interacts with Atg17p and localizas to the PAS in a manner interdependent with Atg17p and Cis1p; not conserved,mitophagy,pre-autophagosomal structure,molecular_function unknown,ATG29,YPL166W
16,Cell wall mannoprotein of the Srp1p/Tip1p family of serine-alanine-rich proteins; expressed under anaerobic conditions and required for anaerobic growth; transcription is also induced by cold shock,response to stress,fungal-type vacuole,molecular_function unknown,TIR4,YOR009W
17,"Mitochondrial malic enzyme, catalyzes the oxidative decarboxylation of malate to pyruvate, which is a key intermediate in sugar metabolism and a precursor for synthesis of several amino acids",pyruvate metabolic process,mitochondrion,nucleotide binding,MAE1,YKL029C
18,"Homoserine kinase, conserved protein required for threonine biosynthesis; expression is regulated by the GCN4-mediated general amino acid control pathway",isoleucine metabolic process,cellular_component unknown,nucleotide binding,THR1,YHR025W
19,Structural maintenance of chromosomes (SMC) protein; essential subunit of the Mms21-Smc5-Smc6 complex; required for growth and DNA repair; S. pombe homolog forms a heterodimer with S. pombe Rad18p that is involved in DNA repair,double-strand break repair via homologous recombination,nucleus,nucleotide binding,SMC5,YOL034W
20,"Essential subunit of the Dam1 complex (aka DASH complex), couples kinetochores to the force produced by MT depolymerization thereby aiding in chromosome segregation; phosphorylated during the cell cycle by cyclin-dependent kinases",mitotic sister chromatid segregation,"chromosome, centromeric region",structural constituent of cytoskeleton,ASK1,YKL052C
21,"Transcriptional activator involved in regulation of invertase and glucoamylase expression, invasive growth and pseudohyphal differentiation, iron uptake, chromium accumulation, and response to osmotic stress; localizes to the nucleus","transcription, DNA-templated",nucleus,DNA binding,MSN1,YOL116W
22,"Subunit of the HIR complex, a nucleosome assembly complex involved in regulation of histone gene transcription; contributes to nucleosome formation, heterochromatic gene silencing, and formation of functional kinetochores",negative regulation of transcription from RNA polymerase II promoter,HIR complex,DNA binding,HIR1,YBL008W
23,"Subunit of the ARP2/3 complex, which is required for the motility and integrity of cortical actin patches; has mRNA binding activity",mitochondrion inheritance,cytoplasm,mRNA binding,ARC15,YIL062C
24,Probable dephospho-CoA kinase (DPCK) that catalyzes the last step in coenzyme A biosynthesis; null mutant lethality is complemented by E. coli coaE (encoding DPCK); detected in purified mitochondria in high-throughput studies,coenzyme A biosynthetic process,nucleus,nucleotide binding,CAB5,YDR196C
25,"Translational activator for mRNAs with internal ribosome entry sites; associates with polysomes and binds to a specific subset of mRNAs; ortholog of human ZNF9/CNBP, a gene involved in myotonic dystrophy type 2",positive regulation of translation,P-body,nucleic acid binding,GIS2,YNL255C
26,"Putative serine/threonine protein phosphatase of the type 2A-like phosphatase family, required for glycogen accumulation; interacts with Tap42p, which binds to and regulates other protein phosphatases",glycogen metabolic process,nucleus,phosphoprotein phosphatase activity,PPG1,YNR032W
27,"Mitochondrial translational activator specific for the COX3 mRNA, acts together with Pet54p and Pet122p; located in the mitochondrial inner membrane",regulation of translation,mitochondrion,translation regulator activity,PET494,YNR045W
28,"Subunit of the signal recognition particle (SRP), involved in protein targeting to the ER; interacts with Srp54p; homolog of mammalian SRP19",SRP-dependent cotranslational protein targeting to membrane,cytoplasm,7S RNA binding,SEC65,YML105C
29,"Evolutionarily conserved subunit of the CCR4-NOT complex involved in controlling mRNA initiation, elongation and degradation; binds Cdc39p","transcription, DNA-templated",P-body,molecular_function unknown,CAF40,YNL288W
30,Type II membrane protein required for vesicular transport between the endoplasmic reticulum and Golgi complex; v-SNARE with similarity to synaptobrevins,transport,Golgi membrane,SNAP receptor activity,BET1,YIL004C
31,"Quinolinate phosphoribosyl transferase, required for the de novo biosynthesis of NAD from tryptophan via kynurenine; expression regulated by Hst1p",NAD biosynthetic process,nucleus,catalytic activity,BNA6,YFR047C
32,Putative protein of unknown function; non-tagged protein is detected in purified mitochondria; may interact with respiratory chain complex IV; null mutant is viable and displays reduced frequency of mitochondrial genome loss,mitochondrial respiratory chain complex IV assembly,mitochondrion,molecular_function unknown,RCF2,YNR018W
33,Putative protein of unknown function,biological_process unknown,cellular_component unknown,molecular_function unknown,YJR115W,YJR115W
34,High osmolarity-regulated gene of unknown function,biological_process unknown,membrane,molecular_function unknown,YHR078W,YHR078W
35,Component of a heterodimeric Poc4p-Irc25p chaperone involved in assembly of alpha subunits into the 20S proteasome; may regulate formation of proteasome isoforms with alternative subunits under different conditions,proteasome assembly,intracellular,molecular_function unknown,POC4,YPL144W
36,"Essential DNA-binding protein specific to single-stranded yeast telomeric DNA repeats, required for telomere length regulation and telomere position effect",telomere maintenance,"chromosome, telomeric region",DNA binding,TEL2,YGR099W
37,"Major exo-1,3-beta-glucanase of the cell wall, involved in cell wall beta-glucan assembly; exists as three differentially glycosylated isoenzymes",carbohydrate metabolic process,fungal-type vacuole,catalytic activity,EXG1,YLR300W
38,Bifunctional acetohydroxyacid reductoisomerase and mtDNA binding protein; involved in branched-chain amino acid biosynthesis and maintenance of wild-type mitochondrial DNA; found in mitochondrial nucleoids,mitochondrial genome maintenance,mitochondrion,double-stranded DNA binding,ILV5,YLR355C
39,"Histone H2A, core histone protein required for chromatin assembly and chromosome function; one of two nearly identical (see also HTA1) subtypes; DNA damage-dependent phosphorylation by Mec1p facilitates DNA repair; acetylated by Nat4p",DNA repair,nucleosome,DNA binding,HTA2,YBL003C
40,"Multidrug transporter of the major facilitator superfamily, has a role in polyamine homeostasis; expression is upregulated under polyamine stress; required for resistance to quinidine, barban, cisplatin, and bleomycin",transport,plasma membrane,polyamine transmembrane transporter activity,QDR3,YBR043C
41,Subunit of the HIR complex; a nucleosome assembly complex involved in regulation of histone gene transcription; involved in position-dependent gene silencing and nucleosome reassembly; ortholog of human CABIN1 protein,regulation of transcription involved in G1/S transition of mitotic cell cycle,HIR complex,DNA binding,HIR3,YJR140C
42,"5'-3' exonuclease and flap-endonuclease involved in recombination, double-strand break repair and DNA mismatch repair; member of the Rad2p nuclease family, with conserved N and I nuclease domains",meiotic DNA double-strand break processing,nucleus,DNA binding,EXO1,YOR033C
43,Protein of unknown function; similar to YKR075Cp and Reg1p; expression regulated by glucose and Rgt1p; GFP-fusion protein is induced in response to the DNA-damaging agent MMS,regulation of carbohydrate metabolic process,protein phosphatase type 1 complex,molecular_function unknown,YOR062C,YOR062C
44,Protein of unknown function; localizes to the cytoplasm and nucleus; overexpression affects protein trafficking through the endocytic pathway,sulfur compound metabolic process,nucleus,catalytic activity,YHR112C,YHR112C
45,Putative transporter of the multidrug resistance-associated protein (MRP) subfamily; adjacent ORFs YKR103W and YKR104W are merged in different strain backgrounds.,transport,fungal-type vacuole membrane,nucleotide binding,NFT1,YKR103W
46,"GTPase with similarity to translation release factors; together with binding partner Dom34p, facilitates ribosomal subunit dissociation and peptidyl-tRNA release when translation is stalled; genetically implicated in mRNA no-go decay",translation,cytoplasm,nucleotide binding,HBS1,YKR084C
47,Putative protein of unknown function; may be involved in phosphatase regulation and/or generation of precursor metabolites and energy,biological_process unknown,cellular_component unknown,molecular_function unknown,YER121W,YER121W
48,"Mitochondrial ribosomal protein of the large subunit, required for respiration and for maintenance of the mitochondrial genome",translation,intracellular,structural constituent of ribosome,IMG1,YCR046C
49,"FMN-dependent NAD(P)H:quinone reductase, may be involved in quinone detoxification; expression elevated at low temperature; sequesters the Cin5p transcription factor in the cytoplasm in complex with the proteasome under reducing conditions",apoptotic process,nucleus,NAD(P)H dehydrogenase (quinone) activity,LOT6,YLR011W
50,"Lanosterol 14-alpha-demethylase; catalyzes the C-14 demethylation of lanosterol to form 4,4''-dimethyl cholesta-8,14,24-triene-3-beta-ol in the ergosterol biosynthesis pathway; member of the cytochrome P450 family; associated and coordinately regulated with the P450 reductase Ncp1p",lipid metabolic process,endoplasmic reticulum,monooxygenase activity,ERG11,YHR007C
51,Putative protein of unknown function; non-tagged protein is detected in highly purified mitochondria in high-throughput studies; contains a PH domain and binds phosphatidylinositols and phosphatidylethanolamine in a large-scale study,biological_process unknown,mitochondrion,molecular_function unknown,YNL144C,YNL144C
52,"eIF4E-associated protein, competes with eIF4G for binding to eIF4E; inhibits cap-dependent translation; functions independently of eIF4E to maintain genetic stability; plays a role in cell growth, implicated in the TOR signaling cascade",deadenylation-dependent decapping of nuclear-transcribed mRNA,cytoplasm,nucleotide binding,EAP1,YKL204W
53,"Mitochondrial integral inner membrane protein involved in membrane insertion of C-terminus of Cox2p, interacts genetically and physically with Cox18p; deletion mutant sensitive to the anti-Pneumocystis carinii drug pentamidine",protein insertion into mitochondrial membrane from inner side,mitochondrion,molecular_function unknown,PNT1,YOR266W
54,"Protein of unknown function; may interact with ribosomes, based on co-purification experiments; authentic, non-tagged protein is detected in purified mitochondria in high-throughput studies; potential orthologs found in other fungi",biological_process unknown,mitochondrion,molecular_function unknown,YNL208W,YNL208W
55,"Mitochondrial inner membrane protein required for normal mitochondrial morphology, may be involved in fission of the inner membrane; forms a homo-oligomeric complex",mitochondrion organization,mitochondrion,molecular_function unknown,SHE9,YDR393W
56,"Oligopeptide transporter; member of the OPT family, with potential orthologs in S. pombe and C. albicans; also plays a role in formation of mature vacuoles",transport,Golgi trans cisterna,oligopeptide transporter activity,OPT2,YPR194C
57,Gamma-aminobutyrate (GABA) transaminase (4-aminobutyrate aminotransferase) involved in the 4-aminobutyrate and glutamate degradation pathways; required for normal oxidative stress tolerance and nitrogen utilization,gamma-aminobutyric acid metabolic process,intracellular,catalytic activity,UGA1,YGR019W
58,ATP-dependent RNA helicase of the DEAD box family; required for 18S rRNA synthesis,"endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)",nucleus,nucleotide binding,ROK1,YGL171W
59,"Fe(II)-dependent sulfonate/alpha-ketoglutarate dioxygenase, involved in sulfonate catabolism for use as a sulfur source; contains sequence that resembles a J domain (typified by the E. coli DnaJ protein); induced by sulphur starvation",sulfur compound catabolic process,cellular_component unknown,sulfonate dioxygenase activity,JLP1,YLL057C
60,"Na+/Pi cotransporter, active in early growth phase; similar to phosphate transporters of Neurospora crassa; transcription regulated by inorganic phosphate concentrations and Pho4p",transport,endoplasmic reticulum,inorganic phosphate transmembrane transporter activity,PHO89,YBR296C
61,"L-homoserine-O-acetyltransferase, catalyzes the conversion of homoserine to O-acetyl homoserine which is the first step of the methionine biosynthetic pathway",sulfur amino acid metabolic process,cytoplasm,homoserine O-acetyltransferase activity,MET2,YNL277W
62,"Protein of unknown function that may interact with ribosomes, based on co-purification experiments; homolog of human BAP31 protein",transport,endoplasmic reticulum,molecular_function unknown,YET2,YMR040W
63,"Major stress-induced structural GPI-cell wall glycoprotein in stationary-phase cells, associates with translating ribosomes, possible role in mitochondrial genome maintenance; ORF contains two distinct variable minisatellites",mitochondrial genome maintenance,extracellular region,structural constituent of cell wall,SED1,YDR077W
